conversion_certificate,deed_from_previous_owner,electricity_connection,electricity_connection_detail,encumberence_certificate,is_the_plot_free_of_any_legal_issues,revenue_document,road_available,road_available_detail,sewage_connection,sewage_connection_detail,title_deed,title_deed_detail,water_connection,water_connection_detail,amenities,boundary,construction,dimensions,fig_count,floor,location,open_sides,price,price_available,price_per_sqft,transaction,type,garden_park,main_road,pool,width_road,area
Yes,No,Yes,,Yes,Yes,,Yes,Pucca Road,Yes,,Yes,Lease Deed,Yes,,,Yes,No,,0,,Dhakuria,3.0,,0,,Resale,Residential Land / Plot,0,0,0,9.0,1872.0
Yes,Yes,Yes,Electricity Board,Yes,No,,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,Yes,Borewell,,No,No,,0,,Khardaha,1.0,,0,,Resale,Residential Land / Plot,0,0,0,10.0,2.0
,,,,,,,,,,,,,,,,Yes,No,,0,4,"Chit Kalikapur, Mukundapur",,270.0,1,1974.0,Resale,Residential Land / Plot,0,0,0,,13680.0
,,,,,,,,,,,,,,,,No,No,45 X 32,1,Congo,Tollygunge Karunamoyee,1.0,38.0,1,2639.0,Resale,Residential Land / Plot,0,0,0,10.0,1440.0
,,,,,,,,,,,,,,,"Power Back Up, Security, Vaastu Compliant, CCTV Camera, Kids play area",Yes,Yes,45 X 32,10,5,Rajarhat,2.0,23.0,1,1597.0,New Property,Residential Land / Plot,1,1,0,30.0,1440.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Will Deed,Yes,Water Board,,Yes,Yes,17 X 17,4,5,Desh Bandhu Nagar Baguiati,2.0,70.0,1,2692.0,Resale,Residential Land / Plot,0,1,0,10.0,2600.0
No,Yes,Yes,Electricity Board,No,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,No,,,Yes,No,,1,,Tangra,1.0,45.0,1,3125.0,Resale,Residential Land / Plot,0,0,0,1.0,1440.0
,,,,,,,,,,,,,,,,Yes,No,80.2 X 44.9,0,3,Ballygunge,2.0,,0,,Resale,Residential Land / Plot,0,1,0,4.0,3600.0
,,,,,,,,,,,,,,,,No,No,,0,,Gouranganagar,2.0,,0,,Resale,Residential Land / Plot,0,0,0,6.0,6480.0
,,,,,,,,,,,,,,,,No,No,,0,,Hatiara,,100.0,1,2315.0,Resale,Residential Land / Plot,0,0,0,,4320.0
,,,,,,,,,,,,,,,,No,Yes,,3,,Joka,1.0,12.5,1,579.0,Resale,Residential Land / Plot,0,0,0,20.0,2160.0
,,,,,,,,,,,,,,,,No,No,,0,1,"Shibrampur, Shibrampur Mauza",,12.0,1,1333.0,Resale,Residential Land / Plot,0,0,0,,900.0
,,,,,,,,,,,,,,,,Yes,Yes,,0,6,Hooghly,,,0,,Resale,Residential Land / Plot,0,0,0,,650.0
,,,,,,,,,,,,,,,"Power Back Up, Lift, Rain Water Harvesting, Swimming Pool, Gymnasium, Park",No,No,,13,,Thakurpukur,,8.0,1,460.0,Resale,Residential Land / Plot,0,0,0,,1740.0
No,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,No,,Yes,Sale Deed,No,,,Yes,No,,0,5,Rajpur Sonarpur,4.0,180.0,1,669.0,Resale,Residential Land / Plot,0,0,0,9.0,14400.0
,,,,,,,,,,,,,,,,No,No,,0,1,Joka,,30.0,1,1389.0,Resale,Residential Land / Plot,0,0,0,,2160.0
,,,,,,,,,,,,,,,,No,No,,2,,Madhyamgram,2.0,450.0,1,3472.0,New Property,Residential Land / Plot,0,0,0,20.0,12960.0
,,,,,,,,,,,,,,,,No,No,,0,,Salt Lake City,,125.0,1,1929.0,New Property,Residential Land / Plot,0,0,0,,6481.0
,,,,,,,,,,,,,,,,Yes,No,,0,1,Rajpur Sonarpur,,,0,,Resale,Residential Land / Plot,0,0,0,,3168000.0
,,,,,,,,,,,,,,,,Yes,No,,0,4,Barasat,,,0,,Resale,Residential Land / Plot,0,0,0,,3000.0
,,,,,,,,,,,,,,,,No,No,62 X 38,1,,Shyam Nagar,3.0,18.0,1,778.0,Resale,Residential Land / Plot,0,0,0,18.0,2313.0
,,,,,,,,,,,,,,,"Power Back Up, Rain Water Harvesting, Club House, Gymnasium, Reserved Parking, Security",No,No,24 X 30.21,2,,Joka,2.0,3.8,1,524.0,New Property,Residential Land / Plot,1,1,0,10.0,725.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,,Yes,Water Board,,No,No,48 X 30,0,,Joka,1.0,2.8,1,194.0,Resale,Residential Land / Plot,0,0,0,7.0,1440.0
,,,,,,,,,,,,,,,,No,No,,0,,"Golf Green, Jadavpur",,960.0,1,2083.0,Resale,Residential Land / Plot,0,0,0,,46080.0
,,,,,,,,,,,,,,,,No,No,26.8 X 53.7,0,4,"Diamond Park, Joka",4.0,,0,,New Property,Residential Land / Plot,0,0,0,12.0,1440.0
,,,,,,,,,,,,,,,,No,Yes,45 X 32,2,4,Rajarhat,3.0,14.8,1,1028.0,New Property,Residential Land / Plot,1,1,0,10.0,1440.0
,,,,,,,,,,,,,,,,No,Yes,45 X 32,3,4,Rajarhat,3.0,14.8,1,1031.0,New Property,Residential Land / Plot,1,1,0,10.0,1440.0
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,60 X 60,5,4,Action Area 3,1.0,60.5,1,1681.0,New Property,Residential Land / Plot,1,1,0,8.0,3600.0
,,,,,,,,,,,,,,,,No,Yes,45 X 32,2,4,Rajarhat,3.0,14.8,1,1028.0,New Property,Residential Land / Plot,1,1,0,10.0,1440.0
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,60 X 60,6,4,Action Area 3,1.0,62.0,1,1722.0,New Property,Residential Land / Plot,1,1,0,8.0,3600.0
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,40 X 45,6,3,Action Area 3,1.0,30.8,1,1708.0,New Property,Residential Land / Plot,1,1,0,9.0,1800.0
,,,,,,,,,,,,,,,,No,Yes,45 X 32,2,4,Rajarhat,3.0,14.8,1,1029.0,New Property,Residential Land / Plot,1,1,0,10.0,1440.0
,,,,,,,,,,,,,,,,No,No,50 X 43.04,0,,Action Area 2,1.0,,0,,Resale,Residential Land / Plot,0,1,0,12.0,2152.0
,,,,,,,,,,,,,,,"Power Back Up, Club House, Swimming Pool, Gymnasium, Security, Visitor Parking",No,Yes,24 X 30,13,,Joka,1.0,3.0,1,417.0,Resale,Residential Land / Plot,1,1,0,20.0,720.0
,,,,,,,,,,,,,,,,No,No,,0,3,Anandapur,,15.0,1,417.0,Resale,Residential Land / Plot,0,0,0,,3600.0
,,,,,,,,,,,,,,,,Yes,No,,0,4,Habra,,27.0,1,1250.0,Resale,Residential Land / Plot,0,0,0,,2160.0
,,,,,,,,,,,,,,,,Yes,No,,0,4,Kalikapur Haltu,1.0,,0,,Resale,Residential Land / Plot,0,0,0,7.0,1987.0
,,,,,,,,,,,,,,,,Yes,No,,0,3,"Silpara, Purba Barisha",,30.0,1,2083.0,Resale,Residential Land / Plot,0,0,0,,1440.0
,,,,,,,,,,,,,,,,Yes,Yes,,0,,Hati Bagan,,80.0,1,926.0,Resale,Residential Land / Plot,0,0,0,,8641.0
,,,,,,,,,,,,,,,,No,No,68 X 35.74,6,,Rajarhat,2.0,39.0,1,1605.0,Resale,Residential Land / Plot,0,1,0,5.0,2430.0
,,,,,,,,,,,,,,,,No,No,,3,,"Silpara, Purba Barisha",,,0,,New Property,Residential Land / Plot,0,0,0,,160.0
,,,,,,,,,,,,,,,,Yes,No,,0,,Anandapur,2.0,,0,,New Property,Residential Land / Plot,0,0,0,10.0,2160.0
,,,,,,,,,,,,,,,,No,No,,0,1,Haringhata,,,0,,Resale,Residential Land / Plot,0,0,0,,14400.0
,,,,,,,,,,,,,,,,Yes,Yes,57.01 X 37.89,0,5,Behala,1.0,,0,,Resale,Residential Land / Plot,0,0,0,11.0,2160.0
,,,,,,,,,,,,,,,"Gymnasium, Park, Security, CCTV Camera, Kids play area, Community Hall",No,No,22 X 20,3,3,"Amtala, Diamond Harbour Road",4.0,7.0,1,648.0,Resale,Residential Land / Plot,0,0,0,7.0,1080.0
,,,,,,,,,,,,,,,,Yes,No,62.5 X 80.5,0,1,New Alipore,4.0,,0,,Resale,Residential Land / Plot,0,1,0,20.0,5040.0
,,,,,,,,,,,,,,,,Yes,No,,0,5,"Palta, Barrackpore",4.0,30.0,1,694.0,Resale,Residential Land / Plot,0,1,0,2.0,4320.0
,,,,,,,,,,,,,,,,No,No,,1,Congo,Sonarpur,1.0,16.0,1,1067.0,Resale,Residential Land / Plot,0,0,0,10.0,1500.0
,,,,,,,,,,,,,,,,No,Yes,24 X 30,9,,Thakurpukur,1.0,9.0,1,625.0,New Property,Residential Land / Plot,1,1,0,30.0,1440.0
,,,,,,,,,,,,,,,,Yes,Yes,40 X 75,0,3,Sector 1 Salt Lake City,3.0,,0,,Resale,Residential Land / Plot,1,1,0,30.0,3000.0
No,No,No,,No,Yes,,Yes,Pucca Road,No,,Yes,Sale Deed,No,,,No,No,,1,,Duttapukur,3.0,50.0,1,2000.0,Resale,Residential Land / Plot,0,0,0,10.0,2500.0
Yes,Yes,Yes,,Yes,No,,Yes,On Highway,Yes,Open,Yes,Sale Deed,Yes,,,No,No,,3,,"Silpara, Purba Barisha",2.0,30.0,1,1887.0,Resale,Residential Land / Plot,0,0,0,2.0,1590.0
,,,,,,,,,,,,,,,,Yes,No,,0,,Sodepur,,3000.0,1,4167.0,Resale,Residential Land / Plot,0,0,0,,72000.0
,,,,,,,,,,,,,,,,No,No,,0,3,Bally,2.0,35.0,1,1389.0,Resale,Residential Land / Plot,0,0,0,10.0,2520.0
Yes,Yes,No,,Yes,Yes,,No,,Yes,,Yes,,No,,,Yes,No,,0,,Habra,2.0,,0,,Resale,Residential Land / Plot,0,0,0,5.0,12600.0
,,,,,,,,,,,,,,,,Yes,No,,0,5,Basirhat,3.0,,0,,Resale,Residential Land / Plot,0,0,0,3.0,12960.0
Yes,Yes,Yes,Solar,Yes,Yes,,Yes,On Highway,Yes,Underground,Yes,Sale Deed,Yes,Water Board,"Power Back Up, Swimming Pool, Park, Water Storage",Yes,No,,2,1,Joka,2.0,10.0,1,77.0,Resale,Residential Land / Plot,0,0,0,24.0,12960.0
No,Yes,Yes,Electricity Board,Yes,No,,Yes,Mud Road,Yes,Underground,Yes,Sale Deed,Yes,Borewell,"Security, Water Storage, Waste Disposal, Kids Play Area",No,No,,3,Congo,Thakurpukur,3.0,2.7,1,188.0,Resale,Residential Land / Plot,0,0,0,25.0,1440.0
,,,,,,,,,,,,,,,,Yes,No,,0,4,Sonarpur,,100.0,1,2778.0,Resale,Residential Land / Plot,0,0,0,,3600.0
,,,,,,,,,,,,,,,,No,No,,0,,Sonarpur,4.0,11.9,1,413.0,Resale,Residential Land / Plot,0,0,0,10.0,2880.0
Yes,Yes,Yes,,Yes,Yes,,Yes,,Yes,,Yes,Sale Deed,Yes,,,No,No,,1,,Sodepur,2.0,30.0,1,1389.0,Resale,Residential Land / Plot,0,0,0,12.0,2160.0
,,,,,,,,,,,,,,,"Power Back Up, Rain Water Harvesting, Swimming Pool, Gymnasium, Park, Reserved Parking",No,No,24 X 30.08,13,,Joka,1.0,2.7,1,373.0,New Property,Residential Land / Plot,1,1,0,10.0,722.0
,,,,,,,,,,,,,,,,Yes,Yes,72 X 45,3,4,"Panchasayar, Garia",2.0,,0,,Resale,Residential Land / Plot,0,1,0,4.0,3240.0
,,,,,,,,,,,,,,,,Yes,Yes,,0,4,Dum Dum,,,0,,Resale,Residential Land / Plot,0,0,0,,2600.0
,,,,,,,,,,,,,,,,Yes,No,,1,3,Behala,1.0,57.0,1,2639.0,New Property,Residential Land / Plot,0,0,0,7.0,2160.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,Yes,Water Board,,No,No,84.99 X 48.24,3,1,Ashoknagar,3.0,25.0,1,610.0,Resale,Residential Land / Plot,1,0,0,10.0,4100.0
,,,,,,,,,,,,,,,"Power Back Up, Rain Water Harvesting, Swimming Pool, Gymnasium, Park, Reserved Parking",No,Yes,,5,,Joka,1.0,3.6,1,250.0,Resale,Residential Land / Plot,0,0,0,15.0,1440.0
Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,Yes,,,Yes,No,,3,5,Chakdaha,3.0,200.0,1,2525.0,Resale,Residential Land / Plot,0,0,0,10.0,7920.0
No,Yes,No,,No,Yes,Yes,Yes,Pucca Road,No,,Yes,Sale Deed,No,,,Yes,No,,1,4,Thakurpukur,,16.0,1,1111.0,Resale,Residential Land / Plot,0,1,0,,1440.0
,,,,,,,,,,,,,,,,Yes,No,56 X 50.2,0,3,Rajpur Sonarpur,2.0,75.0,1,2668.0,Resale,Residential Land / Plot,0,1,0,6.0,2811.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,On Highway,Yes,Underground,Yes,,Yes,Water Board,,Yes,Yes,,1,4,Joka,2.0,,0,,Resale,Residential Land / Plot,1,1,0,6.0,780600.0
Yes,Yes,No,,Yes,Yes,,Yes,On Highway,Yes,Open,Yes,Partition Deed,No,,,No,No,,0,Congo,Howrah,2.0,20.0,1,2500.0,Resale,Residential Land / Plot,0,0,0,9.0,800.0
,,,,,,,,,,,,,,,,No,No,,0,,Shyamnagar,1.0,18.0,1,778.0,Resale,Residential Land / Plot,0,0,0,10.0,2313.0
,,,,,,,,,,,,,,,,No,No,,4,,Madanpur,,,0,,New Property,Residential Land / Plot,0,1,0,,291600.0
,,,,,,,,,,,,,,,,No,No,,5,5,Action Area 2,1.0,,0,,Resale,Residential Land / Plot,0,1,0,12.0,2160.0
Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,,Yes,Sale Deed,Yes,,,Yes,No,1798 X 1.07,3,1,"Sakher Bazar, Purba Barisha",2.0,70.0,1,3241.0,Resale,Residential Land / Plot,0,0,0,4.0,2160.0
,,,,,,,,,,,,,,,,Yes,No,,0,4,Hindmotor,,18.0,1,1250.0,Resale,Residential Land / Plot,0,0,0,,1440.0
,,,,,,,,,,,,,,,,No,No,,0,1,Sonarpur,,9.0,1,357.0,Resale,Residential Land / Plot,0,0,0,,2520.0
,,,,,,,,,,,,,,,,No,No,,0,4,Tollygunge,1.0,,0,,Resale,Residential Land / Plot,0,0,0,10.0,5040.0
,,,,,,,,,,,,,,,,No,No,,0,5,Madhyamgram,,90.0,1,2083.0,Resale,Residential Land / Plot,0,0,0,,4320.0
,,,,,,,,,,,,,,,,Yes,No,,0,2,Thakurpukur,2.0,30.0,1,1361.0,Resale,Residential Land / Plot,0,0,0,3.0,2205.0
Yes,Yes,Yes,Electricity Board,Yes,No,,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,Yes,Water Board,,Yes,No,,2,10,Shyamnagar,1.0,59.0,1,2731.0,Resale,Residential Land / Plot,0,0,0,200.0,2160.0
,,,,,,,,,,,,,,,,No,No,,0,,Garia,,75.0,1,2885.0,Resale,Residential Land / Plot,0,1,0,,2600.0
Yes,Yes,Yes,,Yes,Yes,,Yes,,Yes,,Yes,Sale Deed,Yes,,,No,No,,0,Congo,Baruipur,1.0,16.0,1,556.0,Resale,Residential Land / Plot,0,0,0,10.0,2880.0
,,,,,,,,,,,,,,,,Yes,No,,0,3,Naihati,,,0,,Resale,Residential Land / Plot,0,0,0,,1300.0
,,,,,,,,,,,,,,,,No,No,,0,3,Sonarpur,,,0,,Resale,Residential Land / Plot,0,0,0,,1440.0
,,,,,,,,,,,,,,,,No,No,,0,,"Chinar Park, Rajarhat",,,0,,New Property,Residential Land / Plot,1,1,0,,2160.0
,,,,,,,,,,,,,,,,Yes,No,,0,6,Roy Bahadur Road,,200.0,1,2857.0,Resale,Residential Land / Plot,0,0,0,,7000.0
,,,,,,,,,,,,,,,,No,No,40 X 54,2,,Pailan,3.0,21.0,1,972.0,New Property,Residential Land / Plot,0,1,0,7.0,2160.0
,,,,,,,,,,,,,,,"Club House, Swimming Pool, Gymnasium, Reserved Parking, Security, Water Storage",Yes,Yes,45 X 32,5,3,Joka,2.0,4.6,1,319.0,New Property,Residential Land / Plot,1,1,0,6.0,1440.0
Yes,Yes,Yes,Electricity Board,Yes,No,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,"Power Back Up, Rain Water Harvesting, Swimming Pool, Gymnasium, Park, Reserved Parking",No,Yes,,6,,Joka,2.0,5.5,1,382.0,Resale,Residential Land / Plot,0,0,0,20.0,1440.0
,,,,,,,,,,,,,,,"Club House, Swimming Pool, Gymnasium, Reserved Parking, Security, Water Storage",Yes,Yes,45 X 48,5,3,Joka,2.0,6.9,1,319.0,New Property,Residential Land / Plot,1,1,0,6.0,2160.0
,,,,,,,,,,,,,,,"Power Back Up, Rain Water Harvesting, Swimming Pool, Gymnasium, Park, Reserved Parking",No,No,,1,,Joka,1.0,5.4,1,250.0,Resale,Residential Land / Plot,0,0,0,18.0,2160.0
,,,,,,,,,,,,,,,,Yes,No,250 X 5.76,0,1,Maheshtala,1.0,18.5,1,1285.0,Resale,Residential Land / Plot,0,0,0,16.0,1440.0
,,,,,,,,,,,,,,,"Power Back Up, Rain Water Harvesting, Swimming Pool, Gymnasium, Park, Reserved Parking",No,Yes,24 X 30.21,12,,Joka,2.0,8.5,1,472.0,New Property,Residential Land / Plot,1,1,0,15.0,1800.0
No,Yes,Yes,Electricity Board,Yes,Yes,,Yes,On Highway,Yes,Underground,Yes,Sale Deed,Yes,Borewell,,No,No,40 X 30,0,Congo,Piali,4.0,,0,,Resale,Residential Land / Plot,0,0,0,10.0,720.0
,,,,,,,,,,,,,,,,Yes,Yes,,0,4,Shyamnagar,,,0,,Resale,Residential Land / Plot,0,0,0,,4320.0
,,,,,,,,,,,,,,,,No,No,,0,4,Tollygunge,1.0,70.0,1,2414.0,Resale,Residential Land / Plot,0,0,0,5.0,2900.0
,,,,,,,,,,,,,,,,No,No,,0,3,Kanchrapara Haringhata Road,,1.8,1,125.0,Resale,Residential Land / Plot,0,0,0,,1440.0
,,,,,,,,,,,,,,,,No,No,,0,7,Ankurhati,2.0,,0,,Resale,Residential Land / Plot,0,0,0,1.0,16200.0
,,,,,,,,,,,,,,,"Power Back Up, Lift, Rain Water Harvesting, Swimming Pool, Gymnasium, Park",Yes,Yes,,4,,Rajarhat,,22.5,1,1562.0,Resale,Residential Land / Plot,0,0,0,,1440.0
,,,,,,,,,,,,,,,,Yes,No,,0,4,"Mohan Pur, Barrackpore",,26.0,1,1204.0,Resale,Residential Land / Plot,0,0,0,,2160.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,Yes,Borewell,,Yes,No,,0,3,Sonarpur,2.0,35.0,1,935.0,Resale,Residential Land / Plot,0,0,0,2.0,3742.0
,,,,,,,,,,,,,,,,No,No,144 X 67.3,1,2,"Shibrampur, Shibrampur Mauza",3.0,,0,,Resale,Residential Land / Plot,0,0,0,15.0,9720.0
,,,,,,,,,,,,,,,,Yes,Yes,,0,1,Kanchrapara,,120.0,1,2667.0,Resale,Residential Land / Plot,0,0,0,,4500.0
,,,,,,,,,,,,,,,,No,No,,0,1,Lake Town,,9.0,1,1299.0,Resale,Residential Land / Plot,0,0,0,,693.0
,,,,,,,,,,,,,,,,No,No,,0,3,Barasat,,,0,,Resale,Residential Land / Plot,0,0,0,,10080.0
,,,,,,,,,,,,,,,,Yes,Yes,,0,4,Sodepur,,95.0,1,1885.0,Resale,Residential Land / Plot,0,0,0,,5040.0
,,,,,,,,,,,,,,,,Yes,Yes,,0,2,Howrah,1.0,60.0,1,4166.0,Resale,Residential Land / Plot,0,0,0,10.0,1440.0
No,Yes,No,,Yes,Yes,,Yes,Pucca Road,No,,Yes,Sale Deed,No,,,No,No,,0,,Sonarpur,1.0,8.0,1,444.0,Resale,Residential Land / Plot,0,0,0,10.0,1800.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Lease Deed,Yes,,,Yes,Yes,,0,3,Sector 2 Salt Lake City,1.0,,0,,Resale,Residential Land / Plot,0,1,0,10.0,3600.0
,,,,,,,,,,,,,,,,Yes,No,,0,6,Santoshpur,,500.0,1,694.0,Resale,Residential Land / Plot,0,0,0,,72000.0
,,,,,,,,,,,,,,,,Yes,Yes,53.7 X 26.8,0,2,Action Area 3,2.0,26.0,1,1806.0,New Property,Residential Land / Plot,0,0,0,15.0,1440.0
,,,,,,,,,,,,,,,,Yes,Yes,,0,1,Lake Town,,9.0,1,1299.0,Resale,Residential Land / Plot,0,0,0,,693.0
Yes,Yes,No,,Yes,Yes,,Yes,Pucca Road,No,,Yes,Will Deed,No,,,Yes,No,,8,,Rajpur Sonarpur,1.0,17.4,1,800.0,Resale,Residential Land / Plot,0,0,0,10.0,2176.0
Yes,Yes,Yes,,Yes,No,,Yes,,Yes,,Yes,Sale Deed,Yes,,,No,No,,0,3,Kanchrapara Haringhata Road,1.0,18.0,1,1250.0,Resale,Residential Land / Plot,0,0,0,10.0,1440.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Borewell,,No,No,,1,6,Habra,4.0,390.0,1,695.0,Resale,Residential Land / Plot,0,0,0,10.0,56170.0
,,,,,,,,,,,,,,,,Yes,No,,0,,Nayabad,1.0,50.0,1,2778.0,Resale,Residential Land / Plot,0,1,0,7.0,1800.0
,,,,,,,,,,,,,,,"Power Back Up, Lift, Rain Water Harvesting, Swimming Pool, Gymnasium, Park",No,No,56 X 45,7,4,Rajarhat,2.0,56.0,1,2222.0,Resale,Residential Land / Plot,1,1,0,7.0,2520.0
,,,,,,,,,,,,,,,"Power Back Up, Rain Water Harvesting, Swimming Pool, Gymnasium, Park, Reserved Parking",No,Yes,24 X 30,10,,Joka,1.0,2.4,1,326.0,New Property,Residential Land / Plot,1,1,0,15.0,720.0
,,,,,,,,,,,,,,,"Park, Vaastu Compliant",No,No,4 X 4,7,5,Baruipur,2.0,,0,,Resale,Residential Land / Plot,0,0,0,80.0,4.0
,,,,,,,,,,,,,,,,Yes,Yes,32 X 45,1,5,Action Area 3,2.0,21.0,1,1458.0,New Property,Residential Land / Plot,1,1,0,33.0,1440.0
,,,,,,,,,,,,,,,,No,No,,1,4,Dankuni,,30.0,1,2778.0,Resale,Residential Land / Plot,0,0,0,,1080.0
,,,,,,,,,,,,,,,,Yes,No,,0,2,Ramrajatala,,25.0,1,3374.0,Resale,Residential Land / Plot,0,0,0,,741.0
,,,,,,,,,,,,,,,"Gymnasium, Park, Banquet Hall, Kids Play Area",Yes,Yes,53.7 X 40.2,1,5,New Town,2.0,21.0,1,972.0,New Property,Residential Land / Plot,1,1,0,33.0,2160.0
,,,,,,,,,,,,,,,,Yes,Yes,,0,3,Rash Behari Avenue,,,0,,Resale,Residential Land / Plot,0,0,0,,1440.0
,,,,,,,,,,,,,,,,Yes,Yes,53.7 X 40.2,2,2,Action Area 3,2.0,35.4,1,1639.0,New Property,Residential Land / Plot,0,0,0,15.0,2160.0
,,,,,,,,,,,,,,,,Yes,Yes,53.7 X 26.8,2,2,Action Area 3,2.0,25.0,1,1736.0,New Property,Residential Land / Plot,0,0,0,15.0,1440.0
,,,,,,,,,,,,,,,,Yes,Yes,,2,4,Nayabad,1.0,125.0,1,3472.0,Resale,Residential Land / Plot,1,0,0,20.0,3600.0
,,,,,,,,,,,,,,,,Yes,Yes,,0,5,Howrah,2.0,24.0,1,833.0,Resale,Residential Land / Plot,0,0,0,4.0,2880.0
,,,,,,,,,,,,,,,,Yes,No,,0,3,Barasat,1.0,20.0,1,1389.0,Resale,Residential Land / Plot,0,0,0,2.0,1440.0
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",No,No,45 X 32,5,Congo,Action Area 3,4.0,27.0,1,1875.0,New Property,Residential Land / Plot,1,1,0,8.0,1440.0
,,,,,,,,,,,,,,,,Yes,Yes,32 X 37,1,2,Ramchandrapur Narendrapur,2.0,20.0,1,1689.0,Resale,Residential Land / Plot,0,1,0,8.0,1184.0
,,,,,,,,,,,,,,,,No,No,,0,2,Sonarpur,,100.0,1,3473.0,Resale,Residential Land / Plot,0,0,0,,2880.0
,,,,,,,,,,,,,,,,No,Yes,24 X 30,12,,Joka,1.0,2.8,1,382.0,New Property,Residential Land / Plot,1,0,0,20.0,720.0
,,,,,,,,,,,,,,,,Yes,No,1.95 X 738.46,0,4,Nepalgange Julpia Road,4.0,6.0,1,417.0,Resale,Residential Land / Plot,0,1,0,26.0,1440.0
,,,,,,,,,,,,,,,,Yes,Yes,,0,,Nayabad,2.0,50.0,1,386.0,Resale,Residential Land / Plot,0,1,0,20.0,12960.0
,,,,,,,,,,,,,,,,Yes,Yes,,0,1,New Town,,35.0,1,2059.0,Resale,Residential Land / Plot,0,0,0,,1700.0
,,,,,,,,,,,,,,,,No,No,,1,,New Town,1.0,,0,,Resale,Residential Land / Plot,0,1,0,40.0,28800.0
,,,,,,,,,,,,,,,,Yes,Yes,,0,3,Action Area 3,1.0,30.0,1,2083.0,Resale,Residential Land / Plot,0,0,0,8.0,1440.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,On Highway,Yes,Underground,Yes,Sale Deed,Yes,Borewell,"Park, Security",Yes,No,,56,,Joka,3.0,,0,,Resale,Residential Land / Plot,0,0,0,3.0,21780.0
,,,,,,,,,,,,,,,,Yes,Yes,,0,3,Action Area 3,2.0,14.0,1,1944.0,Resale,Residential Land / Plot,0,0,0,8.0,720.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Open,Yes,Lease Deed,Yes,Water Board,,Yes,No,,0,4,Baruipur,2.0,27.0,1,625.0,Resale,Residential Land / Plot,0,0,0,5.0,4320.0
Yes,Yes,No,,Yes,Yes,,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,No,,,No,No,,6,,Bandel Chinsurah,3.0,88.0,1,1200.0,Resale,Residential Land / Plot,0,0,0,10.0,7335.0
,,,,,,,,,,,,,,,,No,No,,6,1,Chakdaha,2.0,135.0,1,2083.0,Resale,Residential Land / Plot,0,0,0,15.0,6480.0
,,,,,,,,,,,,,,,,Yes,No,,0,3,Baruipur Station Road,,30.0,1,1389.0,Resale,Residential Land / Plot,0,0,0,,2160.0
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,45 X 32,7,3,Action Area 3,2.0,28.0,1,1944.0,New Property,Residential Land / Plot,1,1,0,10.0,1440.0
,,,,,,,,,,,,,,,,Yes,No,,0,3,Baruipur Station Road,,30.0,1,1389.0,Resale,Residential Land / Plot,0,0,0,,2160.0
,,,,,,,,,,,,,,,,No,No,,7,,Jagatdal,,20.0,1,1034.0,New Property,Residential Land / Plot,0,1,0,,1935.0
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,45 X 80,4,3,Action Area 3,4.0,36.0,1,1000.0,New Property,Residential Land / Plot,1,1,0,8.0,3600.0
,,,,,,,,,,,,,,,,Yes,No,,0,4,"New Garia, Garia",,125.0,1,386.0,Resale,Residential Land / Plot,0,0,0,,32400.0
,,,,,,,,,,,,,,,,Yes,No,,1,1,"Chandannagar, Hooghly-Chinsurah",,25.0,1,735.0,Resale,Residential Land / Plot,0,0,0,,3402.0
